I,TA,VB,TB
1.6803,24.1,2.792338,24.1
1.6797,24.1,2.7937702,24.1
1.6797,24.1,2.7948216,24.1
1.6797,24.1,2.7960162,24.1
1.6797,24.1,2.796629,24.1
1.6803,24.1,2.7978278,24.1
1.6803,24.1,2.7987522,24.1
1.6797,24.1,2.7999922,24.1
1.6797,24.1,2.8004846,24.1
1.6797,24.1,2.8016588,24.1
1.6797,24.1,2.8022374,24.1
1.68,24.1,2.803055,24.1
1.6797,24.1,2.8040622,24.1
1.68,24.1,2.8046036,24.1
1.6797,24.1,2.8055082,24.1
1.6797,24.1,2.8061902,24.1
1.68,24.1,2.8069194,24.1
1.6797,24.1,2.8075216,24.1
1.6797,24.1,2.8079984,24.1
1.6797,24.1,2.8090704,24.1
1.6797,24.1,2.8095904,24.1
1.68,24.1,2.8104728,24.1
1.6797,24.1,2.810979,24.1
1.68,24.1,2.811531,24.1
1.68,24.1,2.8123532,24.1
1.6797,24.1,2.8128822,24.1
1.68,24.1,2.8133716,24.1
1.6797,24.1,2.8140598,24.1
1.68,24.1,2.8144498,24.1
1.68,24.2,2.8153092,24.1
1.68,24.1,2.816036,24.1
1.6797,24.1,2.8165636,24.1
1.6797,24.1,2.8168572,24.1
1.68,24.1,2.8173046,24.1
1.68,24.1,2.8182448,24.1
1.6797,24.1,2.8187002,24.1
1.68,24.1,2.8192308,24.1
1.68,24.1,2.8200292,24.1
1.68,24.1,2.820513,24.1
1.68,24.1,2.8209384,24.1
1.6797,24.1,2.8216078,24.1
1.68,24.1,2.8220708,24.1
1.68,24.1,2.822609,24.1
1.68,24.2,2.8232894,24.1
1.6797,24.1,2.8238014,24.1
1.6797,24.1,2.824,24.1
1.68,24.1,2.824876,24.1
1.6797,24.2,2.825293,24.1
1.6797,24.1,2.8258556,24.1
1.6797,24.1,2.8264294,24.1
1.68,24.1,2.8268494,24.1
1.6797,24.1,2.8274126,24.1
1.6797,24.1,2.8279736,24.1
1.68,24.1,2.8283136,24.1
1.6797,24.2,2.8288002,24.1
1.6803,24.1,2.8294058,24.1
1.6797,24.2,2.8302634,24.1
1.68,24.2,2.830681,24.1
1.6803,24.2,2.8310504,24.1
1.6797,24.2,2.831575,24.1
1.6797,24.1,2.832076,24.1
1.6797,24.1,2.8325894,24.1
1.6797,24.1,2.8329874,24.1
1.6797,24.1,2.833355,24.1
1.6797,24.1,2.8340282,24.1
1.6803,24.2,2.8345228,24.1
1.6797,24.1,2.8348556,24.1
1.68,24.1,2.8353886,24.1
1.68,24.2,2.8358098,24.1
1.6797,24.1,2.8362948,24.1
1.6797,24.2,2.836952,24.1
1.6797,24.1,2.8373864,24.1
1.6797,24.2,2.8376492,24.1
1.6803,24.1,2.8380958,24.1
1.6797,24.2,2.8385968,24.1
1.6797,24.1,2.839232,24.1
1.6803,24.2,2.8398158,24.1
1.6797,24.2,2.8400574,24.1
1.6797,24.1,2.8405862,24.1
1.6797,24.2,2.8409416,24.1
1.6797,24.2,2.8412902,24.1
1.6797,24.1,2.8418322,24.1
1.6797,24.2,2.8424244,24.1
1.68,24.1,2.8427592,24.1
1.68,24.2,2.8433204,24.1
1.6797,24.1,2.8436436,24.1
1.6797,24.2,2.8442318,24.1
1.6797,24.1,2.8446236,24.1
1.68,24.2,2.845196,24.1
1.6797,24.2,2.8454976,24.1
1.6797,24.2,2.8459108,24.1
1.68,24.2,2.8464824,24.1
1.68,24.2,2.8467874,24.1
1.6797,24.2,2.8475326,24.1
1.6797,24.2,2.8478046,24.1
1.6797,24.2,2.8482432,24.1
1.6797,24.1,2.8488844,24.1
1.6797,24.2,2.8492482,24.1
1.6797,24.2,2.8497978,24.1
1.6797,24.2,2.8498574,24.1
1.68,24.2,2.850479,24.1
1.6797,24.1,2.8508726,24.1
1.68,24.2,2.8513336,24.1
1.68,24.2,2.851576,24.1
1.6797,24.1,2.8522698,24.1
1.6797,24.2,2.8527332,24.1
1.68,24.1,2.8529228,24.1
1.6797,24.2,2.8530266,24.1
1.68,24.2,2.853763,24.1
1.68,24.2,2.8540432,24.1
1.68,24.2,2.8544296,24.1
1.6797,24.1,2.8550506,24.1
1.6797,24.1,2.8553748,24.1
1.68,24.1,2.8555314,24.1
1.6797,24.2,2.8560458,24.1
1.68,24.1,2.8562418,24.1
1.6797,24.2,2.856982,24.1
1.68,24.1,2.8572724,24.1
1.68,24.2,2.8578258,24.1
1.6797,24.1,2.858101,24.1
1.6797,24.2,2.8586692,24.1
1.68,24.2,2.8587586,24.1
1.6797,24.1,2.8591856,24.1
1.6797,24.1,2.859619,24.1
1.68,24.2,2.8600142,24.1
1.6797,24.1,2.8605668,24.1
